type,storm,discount,climate,hazard,cost,benefit,ratio,net,ecosystem,net_ecosystem
CCA,200,3,total,erosion,1153.096384,532.5869695,0.4618755,-620.5094145,0,-620.5094145
NBA,200,3,total,erosion,1017.348462,440.3905811,0.432880766,-576.9578809,69.60482584,-507.3530551
CCA,20,5,2030,erosion,1153.096384,197.5207177,0.17129593,-955.5756663,0,-955.5756663
NBA,20,5,2030,erosion,1017.348462,161.5462409,0.158791453,-855.8022211,42.42704321,-813.3751779
CCA,50,5,2030,erosion,1153.096384,197.5207177,0.17129593,-955.5756663,0,-955.5756663
NBA,50,5,2030,erosion,1017.348462,161.5462409,0.158791453,-855.8022211,42.42704321,-813.3751779
CCA,75,5,2030,erosion,1153.096384,197.5207177,0.17129593,-955.5756663,0,-955.5756663
NBA,75,5,2030,erosion,1017.348462,161.5462409,0.158791453,-855.8022211,42.42704321,-813.3751779
CCA,100,5,2030,erosion,1153.096384,197.5207177,0.17129593,-955.5756663,0,-955.5756663
NBA,100,5,2030,erosion,1017.348462,161.5462409,0.158791453,-855.8022211,42.42704321,-813.3751779
CCA,200,5,2030,erosion,1153.096384,197.5207177,0.17129593,-955.5756663,0,-955.5756663
NBA,200,5,2030,erosion,1017.348462,161.5462409,0.158791453,-855.8022211,42.42704321,-813.3751779
CCA,20,5,2060,erosion,1153.096384,77.98749902,0.067633114,-1075.108885,0,-1075.108885
NBA,20,5,2060,erosion,1017.348462,64.69606284,0.063592825,-952.6523992,42.42704321,-910.2253559
CCA,50,5,2060,erosion,1153.096384,77.98749902,0.067633114,-1075.108885,0,-1075.108885
NBA,50,5,2060,erosion,1017.348462,64.69606284,0.063592825,-952.6523992,42.42704321,-910.2253559
CCA,75,5,2060,erosion,1153.096384,77.98749902,0.067633114,-1075.108885,0,-1075.108885
NBA,75,5,2060,erosion,1017.348462,64.69606284,0.063592825,-952.6523992,42.42704321,-910.2253559
CCA,100,5,2060,erosion,1153.096384,77.98749902,0.067633114,-1075.108885,0,-1075.108885
NBA,100,5,2060,erosion,1017.348462,64.69606284,0.063592825,-952.6523992,42.42704321,-910.2253559
CCA,200,5,2060,erosion,1153.096384,77.98749902,0.067633114,-1075.108885,0,-1075.108885
NBA,200,5,2060,erosion,1017.348462,64.69606284,0.063592825,-952.6523992,42.42704321,-910.2253559
CCA,20,5,2100,erosion,1153.096384,11.75519623,0.010194461,-1141.341188,0,-1141.341188
NBA,20,5,2100,erosion,1017.348462,9.790325638,0.009623375,-1007.558136,42.42704321,-965.1310932
CCA,50,5,2100,erosion,1153.096384,11.75519623,0.010194461,-1141.341188,0,-1141.341188
NBA,50,5,2100,erosion,1017.348462,9.790325638,0.009623375,-1007.558136,42.42704321,-965.1310932
CCA,75,5,2100,erosion,1153.096384,11.75519623,0.010194461,-1141.341188,0,-1141.341188
NBA,75,5,2100,erosion,1017.348462,9.790325638,0.009623375,-1007.558136,42.42704321,-965.1310932
CCA,100,5,2100,erosion,1153.096384,11.75519623,0.010194461,-1141.341188,0,-1141.341188
NBA,100,5,2100,erosion,1017.348462,9.790325638,0.009623375,-1007.558136,42.42704321,-965.1310932
CCA,200,5,2100,erosion,1153.096384,11.75519623,0.010194461,-1141.341188,0,-1141.341188
NBA,200,5,2100,erosion,1017.348462,9.790325638,0.009623375,-1007.558136,42.42704321,-965.1310932
CCA,20,5,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,20,5,Current,erosion,1017.348462,0,0,-1017.348462,42.42704321,-974.9214188
CCA,50,5,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,50,5,Current,erosion,1017.348462,0,0,-1017.348462,42.42704321,-974.9214188
CCA,75,5,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,75,5,Current,erosion,1017.348462,0,0,-1017.348462,42.42704321,-974.9214188
CCA,100,5,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,100,5,Current,erosion,1017.348462,0,0,-1017.348462,42.42704321,-974.9214188
CCA,200,5,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,200,5,Current,erosion,1017.348462,0,0,-1017.348462,42.42704321,-974.9214188
CCA,20,5,total,erosion,1153.096384,382.5635117,0.331770628,-770.5328723,0,-770.5328723
NBA,20,5,total,erosion,1017.348462,315.1928246,0.309817959,-702.1556374,42.42704321,-659.7285942
