type,storm,discount,climate,hazard,cost,benefit,ratio,net,ecosystem,net_ecosystem
CCA,75,0,2030,total,1153.096384,708.6389738,0.6145531142,-444.4574102,0,-444.4574102
NBA,75,0,2060,tide,1017.348462,0.055159153,0.0000542185,-1017.293303,214.4664538,-802.826849
CCA,75,0,2060,tide,1153.096384,0.068561308,0.0000594584,-1153.027823,0,-1153.027823
NBA,75,0,2060,storm,1017.348462,0.377070811,0.0003706408,-1016.971391,214.4664538,-802.5049374
CCA,75,0,2060,storm,1153.096384,1.492792608,0.0012945948,-1151.603591,0,-1151.603591
NBA,75,0,2060,wave,1017.348462,257.9381472,0.2535396247,-759.4103148,214.4664538,-544.9438609
CCA,75,0,2060,wave,1153.096384,276.8402322,0.2400842081,-876.2561518,0,-876.2561518
NBA,75,0,2060,erosion,1017.348462,23.50901227,0.0231081219,-993.8394497,214.4664538,-779.3729959
CCA,75,0,2060,erosion,1153.096384,28.74419702,0.0249278355,-1124.352187,0,-1124.352187
NBA,75,0,2060,total,1017.348462,281.8793895,0.2770726059,-735.4690725,214.4664538,-521.0026187
CCA,75,0,2060,total,1153.096384,307.1457831,0.2663660969,-845.9506009,0,-845.9506009
NBA,75,0,2100,tide,1017.348462,0.055159153,0.0000542185,-1017.293303,214.4664538,-802.826849
CCA,75,0,2100,tide,1153.096384,2055.283641,1.7824040293,902.187257,0,902.187257
NBA,75,0,2100,storm,1017.348462,37.67416909,0.0370317256,-979.6742929,214.4664538,-765.2078391
CCA,75,0,2100,storm,1153.096384,121.2264538,0.1051312410,-1031.86993,0,-1031.86993
NBA,75,0,2100,wave,1017.348462,2301.608259,2.2623597960,1284.259797,214.4664538,1498.726251
CCA,75,0,2100,wave,1153.096384,2433.882908,2.1107367447,1280.786524,0,1280.786524
NBA,75,0,2100,erosion,1017.348462,1290.901568,1.2688883070,273.5531055,214.4664538,488.0195594
CCA,75,0,2100,erosion,1153.096384,1550.213579,1.3443920215,397.1171947,0,397.1171947
NBA,75,0,2100,total,1017.348462,5303.035305,5.2126046318,4285.686843,214.4664538,4500.153297
CCA,75,0,2100,total,1153.096384,6160.606581,5.3426640364,5007.510197,0,5007.510197
NBA,100,0,Current,tide,1017.348462,0.000520369,0.0000005115,-1017.347942,214.4664538,-802.8814878
CCA,100,0,Current,tide,1153.096384,0.000646805,0.0000005609,-1153.095737,0,-1153.095737
NBA,100,0,Current,storm,1017.348462,0.019832803,0.0000194946,-1017.328629,214.4664538,-802.8621754
CCA,100,0,Current,storm,1153.096384,0.021258875,0.0000184363,-1153.075125,0,-1153.075125
NBA,100,0,Current,wave,1017.348462,16.30542548,0.0160273752,-1001.043037,214.4664538,-786.5765827
CCA,100,0,Current,wave,1153.096384,17.97418266,0.0155877539,-1135.122201,0,-1135.122201
NBA,100,0,Current,erosion,1017.348462,23.50901227,0.0231081219,-993.8394497,214.4664538,-779.3729959
CCA,100,0,Current,erosion,1153.096384,28.74419702,0.0249278355,-1124.352187,0,-1124.352187
NBA,100,0,Current,total,1017.348462,39.83479093,0.0391555032,-977.5136711,214.4664538,-763.0472172
CCA,100,0,Current,total,1153.096384,46.74028536,0.0405345867,-1106.356099,0,-1106.356099
NBA,100,0,2030,tide,1017.348462,0.062444324,0.0000613795,-1017.286018,214.4664538,-802.8195639
CCA,100,0,2030,tide,1153.096384,0.077616575,0.0000673114,-1153.018767,0,-1153.018767
NBA,100,0,2030,storm,1017.348462,0.289873908,0.0002849308,-1017.058588,214.4664538,-802.5921343
CCA,100,0,2030,storm,1153.096384,1.24859541,0.0010828196,-1151.847789,0,-1151.847789
NBA,100,0,2030,wave,1017.348462,193.4591916,0.1901602046,-823.8892704,214.4664538,-609.4228165
